_id,监测点,AQI,质量等级,PM2.5,抓取时间
683ac07535772abe3c75c030,滨江,80,良,28,2025-05-31T16:40:21.547Z
683ac07535772abe3c75c031,临平镇,70,良,32,2025-05-31T16:40:21.674Z
683ac07535772abe3c75c032,消防大队,62,良,29,2025-05-31T16:40:21.716Z
683ac07535772abe3c75c033,城厢镇,60,良,29,2025-05-31T16:40:21.758Z
683ac07535772abe3c75c034,第二中学(*),58,良,25,2025-05-31T16:40:21.799Z
683ac07535772abe3c75c035,和睦小学,57,良,27,2025-05-31T16:40:21.839Z
683ac07535772abe3c75c036,浙江农大,50,优,35,2025-05-31T16:40:21.880Z
683ac07535772abe3c75c037,下沙,49,优,19,2025-05-31T16:40:21.920Z
683ac07535772abe3c75c038,桐庐江南(*),49,优,29,2025-05-31T16:40:21.959Z
683ac07535772abe3c75c039,桐庐江北(*),49,优,28,2025-05-31T16:40:21.997Z
683ac07635772abe3c75c03a,建德监测大楼(*),47,优,24,2025-05-31T16:40:22.041Z
683ac07635772abe3c75c03b,市府大楼,46,优,32,2025-05-31T16:40:22.085Z
683ac07635772abe3c75c03c,卧龙桥,46,优,32,2025-05-31T16:40:22.126Z
683ac07635772abe3c75c03d,老年活动中心(*),45,优,26,2025-05-31T16:40:22.167Z
683ac07635772abe3c75c03e,云栖,43,优,26,2025-05-31T16:40:22.207Z
683ac07635772abe3c75c03f,镇二中,43,优,30,2025-05-31T16:40:22.251Z
683ac07635772abe3c75c040,淳安环保大楼(*),40,优,26,2025-05-31T16:40:22.297Z
683ac07635772abe3c75c041,西溪,39,优,27,2025-05-31T16:40:22.338Z
683ac07635772abe3c75c042,余杭镇(*),0,,0,2025-05-31T16:40:22.382Z
